时间戳,数值
1754308227.8251164,14584
1754308227.8251226,-1856
1754308227.825128,14336
1754308227.825131,-16384
1754308227.825138,56
1754308227.8251448,-16384
1754308227.8251483,-16328
1754308227.8251512,-1992
1754308227.8251538,14528
1754308227.8251576,14392
1754308227.8251603,-1992
1754308227.8251631,-1992
1754308227.8251655,-1992
1754308227.8251672,-16384
1754308227.8251703,-1992
1754308227.825173,14584
1754308227.8251767,14336
1754308227.8251798,14392
1754308227.825183,14528
1754308227.8253977,-2048
1754308227.8254035,-16136
1754308227.8254063,-16328
1754308227.825409,14584
1754308227.8254123,248
1754308227.8254166,56
1754308227.8254194,56
1754308227.8254225,-16192
1754308227.8254278,14336
1754308227.825431,-16192
1754308227.825435,56
1754308227.8254375,-16328
1754308227.82544,-16192
1754308227.825443,14392
1754308227.8254523,14584
1754308227.8254676,14336
1754308227.825488,-1992
1754308227.8255088,-1800
1754308227.825529,14392
1754308227.8255513,14584
1754308227.825572,0
1754308227.825593,14336
1754308227.8256135,-16328
1754308227.8256347,14392
1754308227.8256557,14584
1754308227.8256762,0
1754308227.8256965,14528
1754308227.8257172,-16328
1754308227.825738,14584
1754308227.8257582,14392
1754308227.825779,0
1754308227.8257997,14528
1754308227.82582,14528
1754308227.8258407,-1992
1754308227.8258617,-1856
1754308227.825888,14392
1754308227.825903,14336
1754308227.825924,14528
1754308227.8259447,56
1754308227.8259654,-16328
1754308227.825988,56
1754308227.8260086,-1992
1754308227.8260293,14336
1754308227.8260503,14392
1754308227.8260715,56
1754308227.8260922,-16384
1754308227.8261137,14528
1754308227.8261356,-16136
1754308227.8261569,14528
1754308227.8261771,14584
1754308227.8261995,14392
1754308227.82622,-16192
1754308227.8262405,-1992
1754308227.8262615,14392
1754308227.826282,0
1754308227.8263025,-2048
1754308227.8263228,14392
1754308227.8263438,14528
1754308227.826365,14336
1754308227.8263855,192
1754308227.8264081,-1992
1754308227.8264291,-1800
1754308227.8268807,56
1754308227.8268845,-1992
1754308227.8268871,14336
1754308227.8268898,56
1754308227.8268929,-16328
1754308227.8268964,14584
1754308227.826899,0
1754308227.8269029,56
1754308227.8269053,56
1754308227.826909,14392
1754308227.8269122,-1800
1754308227.8269155,14528
1754308227.8269203,192
1754308227.8269227,56
1754308227.826924,14528
1754308227.8269272,0
1754308227.8269296,-1800
1754308227.8269322,-1992
1754308227.8269348,-1800
1754308227.8269362,-1992
1754308227.8269389,14528
1754308227.8269434,14392
1754308227.8269463,14528
1754308227.8269491,248
1754308227.8269556,14528
1754308227.8269596,248
1754308227.8269622,-16328
1754308227.8269773,14392
1754308227.826998,-16136
1754308227.827019,56
1754308227.8270397,56
1754308227.8270605,-1800
1754308227.8270814,14528
1754308227.827102,0
1754308227.8271232,-16328
1754308227.8271434,14392
1754308227.8271654,14584
1754308227.8271885,0
1754308227.8272092,-16328
1754308227.8272295,14336
1754308227.82725,-16384
1754308227.8272848,-1992
1754308227.8272913,14528
1754308227.8273144,-16192
1754308227.8273351,14584
1754308227.8273551,-16136
1754308227.827378,14392
1754308227.827399,14584
1754308227.82742,-1992
1754308227.827441,14392
1754308227.8274617,56
1754308227.8274825,14392
1754308227.827503,14528
1754308227.8275235,-1992
1754308227.8275468,56
1754308227.8275678,14528
1754308227.8275888,-16384
1754308227.8276122,-1800
1754308227.827631,56
1754308227.8276515,14528
1754308227.8276725,14584
1754308227.8276925,56
1754308227.827715,-2048
1754308227.8277373,-16328
1754308227.8277602,14584
1754308227.8277798,-1992
1754308227.8278027,14392
1754308227.8278232,14336
1754308227.8278446,14336
1754308227.827865,-1856
1754308227.8278854,14528
1754308227.8279052,-16192
1754308227.8279278,14584
1754308227.827948,-2048
1754308227.8279684,56
1754308227.8279908,-1856
1754308227.828011,14528
1754308227.8280313,-16192
1754308227.8280516,14584
1754308227.828074,-16136
1754308227.8280945,14528
1754308227.8281167,-1800
1754308227.8281853,14584
1754308227.828192,14336
1754308227.8281956,-1992
1754308227.828214,14392
1754308227.8282337,-1800
1754308227.8282645,14528
1754308227.8282778,-16136
1754308227.8282986,-1992
1754308227.8283193,14528
1754308227.8283412,14336
1754308227.8283641,14584
1754308227.828385,-16384
1754308227.8284051,14392
1754308227.828426,14584
1754308227.8284464,56
1754308227.8284686,-16328
1754308227.8284898,248
1754308227.8285112,-16328
1754308227.8285322,14336
1754308227.828554,-2048
1754308227.828575,56
1754308227.8285966,14528
1754308227.828618,192
1754308227.8286402,56
1754308227.828662,-1800
1754308227.8286922,14528
1754308227.828811,56
1754308227.8288202,-16328
1754308227.8288448,14392
1754308227.8288674,0
1754308227.8288898,56
1754308227.828915,-1856
1754308227.8289373,14528
1754308227.8289576,-16136
1754308227.82898,-1992
1754308227.829002,14392
1754308227.829024,-16384
